---------------------------------------------------------------------------------------------------------------
  Module Name                             | Clock Name                             | Supported Frequencies(Hz) 
 * PMHAL_PRCM_MOD_SPINLOCK                | PMHAL_PRCM_CLK_L4LS_GCLK               | 100000000
 * PMHAL_PRCM_MOD_TIMER10                 | PMHAL_PRCM_CLK_L4LS_GCLK               | 100000000
 * PMHAL_PRCM_MOD_TIMER10                 | PMHAL_PRCM_CLK_TIMER10_GCLK            | 24000000, 32768, 32768
 * PMHAL_PRCM_MOD_TIMER11                 | PMHAL_PRCM_CLK_L4LS_GCLK               | 100000000
 * PMHAL_PRCM_MOD_TIMER11                 | PMHAL_PRCM_CLK_TIMER11_GCLK            | 24000000, 32768, 32768
 * PMHAL_PRCM_MOD_TIMER2                  | PMHAL_PRCM_CLK_L4LS_GCLK               | 100000000
 * PMHAL_PRCM_MOD_TIMER2                  | PMHAL_PRCM_CLK_TIMER2_GCLK             | 24000000, 32768
 * PMHAL_PRCM_MOD_TIMER3                  | PMHAL_PRCM_CLK_L4LS_GCLK               | 100000000
 * PMHAL_PRCM_MOD_TIMER3                  | PMHAL_PRCM_CLK_TIMER3_GCLK             | 24000000, 32768
 * PMHAL_PRCM_MOD_TIMER4                  | PMHAL_PRCM_CLK_L4LS_GCLK               | 100000000
 * PMHAL_PRCM_MOD_TIMER4                  | PMHAL_PRCM_CLK_TIMER4_GCLK             | 24000000, 32768
 * PMHAL_PRCM_MOD_TIMER5                  | PMHAL_PRCM_CLK_L4LS_GCLK               | 100000000
 * PMHAL_PRCM_MOD_TIMER5                  | PMHAL_PRCM_CLK_TIMER5_GCLK             | 24000000, 32768
 * PMHAL_PRCM_MOD_TIMER6                  | PMHAL_PRCM_CLK_L4LS_GCLK               | 100000000
 * PMHAL_PRCM_MOD_TIMER6                  | PMHAL_PRCM_CLK_TIMER6_GCLK             | 24000000, 32768
 * PMHAL_PRCM_MOD_TIMER7                  | PMHAL_PRCM_CLK_L4LS_GCLK               | 100000000
 * PMHAL_PRCM_MOD_TIMER7                  | PMHAL_PRCM_CLK_TIMER7_GCLK             | 24000000, 32768
 * PMHAL_PRCM_MOD_TIMER8                  | PMHAL_PRCM_CLK_L4LS_GCLK               | 100000000
 * PMHAL_PRCM_MOD_TIMER8                  | PMHAL_PRCM_CLK_TIMER8_GCLK             | 24000000, 32768, 32768
 * PMHAL_PRCM_MOD_TIMER9                  | PMHAL_PRCM_CLK_L4LS_GCLK               | 100000000
 * PMHAL_PRCM_MOD_TIMER9                  | PMHAL_PRCM_CLK_TIMER9_GCLK             | 24000000, 32768, 32768
 * PMHAL_PRCM_MOD_TPCC                    | PMHAL_PRCM_CLK_L3_GCLK                 | 200000000
 * PMHAL_PRCM_MOD_TPTC0                   | PMHAL_PRCM_CLK_L3_GCLK                 | 200000000
 * PMHAL_PRCM_MOD_TPTC1                   | PMHAL_PRCM_CLK_L3_GCLK                 | 200000000
 * PMHAL_PRCM_MOD_TPTC2                   | PMHAL_PRCM_CLK_L3_GCLK                 | 200000000
 * PMHAL_PRCM_MOD_UART1                   | PMHAL_PRCM_CLK_L4LS_GCLK               | 100000000
 * PMHAL_PRCM_MOD_UART1                   | PMHAL_PRCM_CLK_UART_GFCLK              | 48000000
 * PMHAL_PRCM_MOD_UART2                   | PMHAL_PRCM_CLK_L4LS_GCLK               | 100000000
 * PMHAL_PRCM_MOD_UART2                   | PMHAL_PRCM_CLK_UART_GFCLK              | 48000000
 * PMHAL_PRCM_MOD_UART3                   | PMHAL_PRCM_CLK_L4LS_GCLK               | 100000000
 * PMHAL_PRCM_MOD_UART3                   | PMHAL_PRCM_CLK_UART_GFCLK              | 48000000
 * PMHAL_PRCM_MOD_UART4                   | PMHAL_PRCM_CLK_L4LS_GCLK               | 100000000
 * PMHAL_PRCM_MOD_UART4                   | PMHAL_PRCM_CLK_UART_GFCLK              | 48000000
 * PMHAL_PRCM_MOD_UART5                   | PMHAL_PRCM_CLK_L4LS_GCLK               | 100000000
 * PMHAL_PRCM_MOD_UART5                   | PMHAL_PRCM_CLK_UART_GFCLK              | 48000000
 * PMHAL_PRCM_MOD_USBPHYOCP2SCP0          | PMHAL_PRCM_CLK_L4LS_GCLK               | 100000000
 * PMHAL_PRCM_MOD_USBPHYOCP2SCP1          | PMHAL_PRCM_CLK_L4LS_GCLK               | 100000000
 * PMHAL_PRCM_MOD_USB_OTG_SS0             | PMHAL_PRCM_CLK_L3S_GCLK                | 100000000
 * PMHAL_PRCM_MOD_USB_OTG_SS0             | PMHAL_PRCM_CLK_USB_OTG_SS_REFCLK       | 24000000
 * PMHAL_PRCM_MOD_USB_OTG_SS0             | PMHAL_PRCM_CLK_USB_PLL_CLK             | 960000000
 * PMHAL_PRCM_MOD_USB_OTG_SS1             | PMHAL_PRCM_CLK_L3S_GCLK                | 100000000
 * PMHAL_PRCM_MOD_USB_OTG_SS1             | PMHAL_PRCM_CLK_USB_OTG_SS_REFCLK       | 24000000
 * PMHAL_PRCM_MOD_USB_OTG_SS1             | PMHAL_PRCM_CLK_USB_PLL_CLK             | 960000000
 * PMHAL_PRCM_MOD_USIM0                   | PMHAL_PRCM_CLK_L4LS_GCLK               | 100000000
 * PMHAL_PRCM_MOD_USIM0                   | PMHAL_PRCM_CLK_USIM0_FCLK              | 24000000, 40000000
 * PMHAL_PRCM_MOD_USIM0                   | PMHAL_PRCM_CLK_USIM0_FCLK32            | 32768, 32768, 32768
 * PMHAL_PRCM_MOD_USIM1                   | PMHAL_PRCM_CLK_L4LS_GCLK               | 100000000
 * PMHAL_PRCM_MOD_USIM1                   | PMHAL_PRCM_CLK_USIM1_FCLK              | 24000000, 40000000
