---------------------------------------------------------------------------------------------------------------
  Module Name                             | Clock Name                             | Supported Frequencies(Hz) 
 * PMHAL_PRCM_MOD_UART3                   | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_UART3                   | PMHAL_PRCM_CLK_UART3_GFCLK             | 192000000, 48000000
 * PMHAL_PRCM_MOD_UART3                   | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_GPIO2                   | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_GPIO2                   | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_GPIO2                   | PMHAL_PRCM_CLK_GPIO_GFCLK              | 32786
 * PMHAL_PRCM_MOD_GPIO3                   | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_GPIO3                   | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_GPIO3                   | PMHAL_PRCM_CLK_GPIO_GFCLK              | 32786
 * PMHAL_PRCM_MOD_GPIO4                   | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_GPIO4                   | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_GPIO4                   | PMHAL_PRCM_CLK_GPIO_GFCLK              | 32786
 * PMHAL_PRCM_MOD_MMC4                    | PMHAL_PRCM_CLK_L4PER_L3_GICLK          | 266000000
 * PMHAL_PRCM_MOD_MMC4                    | PMHAL_PRCM_CLK_L4PER_L4_GICLK          | 133000000
 * PMHAL_PRCM_MOD_MMC4                    | PMHAL_PRCM_CLK_MMC4_GFCLK              | 192000000, 96000000, 48000000, 24000000, 12000000
 * PMHAL_PRCM_MOD_MMC4                    | PMHAL_PRCM_CLK_L4PER_32K_GFCLK         | 32786
 * PMHAL_PRCM_MOD_DCAN2                   | PMHAL_PRCM_CLK_DCAN2_SYS_CLK           | 20000000
 * PMHAL_PRCM_MOD_DCAN2                   | PMHAL_PRCM_CLK_L4PER2_L3_GICLK         | 266000000
 * PMHAL_PRCM_MOD_L4_PER2                 | PMHAL_PRCM_CLK_L4PER2_L3_GICLK         | 266000000
 * PMHAL_PRCM_MOD_ADC                     | PMHAL_PRCM_CLK_L4PER2_L4_GICLK         | 133000000
 * PMHAL_PRCM_MOD_ADC                     | PMHAL_PRCM_CLK_ADC_GFCLK               | 20000000
 * PMHAL_PRCM_MOD_ADC                     | PMHAL_PRCM_CLK_ADC_L3_GICLK            | 266000000
